study_word,test,condition,textbox.text,corr_resp,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart
,m_n_y,non_prime,,0,[],[],[],[],[],[],[],934491,1,2024-10-30_13h49.43.895,word_prime_exp,2024.1.5,None,2024-10-30 13h49.51.430158 +0530
,b_t_l_,non_prime,bottle,1,[0.06626506024096386],[-0.2855421686746988],[1],[0],[0],[4.005231300019659],['text_3'],934491,1,2024-10-30_13h49.43.895,word_prime_exp,2024.1.5,None,2024-10-30 13h49.51.430158 +0530
,b_r_,non_prime,bird,1,[-0.0024096385542168677],[-0.2891566265060241],[1],[0],[0],[3.6979369000182487],['text_3'],934491,1,2024-10-30_13h49.43.895,word_prime_exp,2024.1.5,None,2024-10-30 13h49.51.430158 +0530
,v_s_,prime,vase,1,[-0.033734939759036145],[-0.3036144578313253],[1],[0],[0],[2.9222701999824494],['text_3'],934491,1,2024-10-30_13h49.43.895,word_prime_exp,2024.1.5,None,2024-10-30 13h49.51.430158 +0530
,t_g_r,prime,tiger,1,[-0.02289156626506024],[-0.2963855421686747],[1],[0],[0],[3.1215057999943383],['text_3'],934491,1,2024-10-30_13h49.43.895,word_prime_exp,2024.1.5,None,2024-10-30 13h49.51.430158 +0530
,k_y_,prime,keys,1,[-0.007228915662650603],[-0.2783132530120482],[1],[0],[0],[2.5729730000020936],['text_3'],934491,1,2024-10-30_13h49.43.895,word_prime_exp,2024.1.5,None,2024-10-30 13h49.51.430158 +0530
,r_n_a_,prime,runway,1,[-0.024096385542168676],[-0.29518072289156627],[1],[0],[0],[3.483311899995897],['text_3'],934491,1,2024-10-30_13h49.43.895,word_prime_exp,2024.1.5,None,2024-10-30 13h49.51.430158 +0530
,h_p_y,non_prime,happy,1,[-0.01566265060240964],[-0.3060240963855422],[1],[0],[0],[3.1578405000036582],['text_3'],934491,1,2024-10-30_13h49.43.895,word_prime_exp,2024.1.5,None,2024-10-30 13h49.51.430158 +0530
,m_n_y,non_prime,,0,[],[],[],[],[],[],[],934491,1,2024-10-30_13h49.43.895,word_prime_exp,2024.1.5,None,2024-10-30 13h49.51.430158 +0530
,d_e_s,prime,dress,1,[-0.021686746987951807],[-0.2855421686746988],[1],[0],[0],[3.6477534999721684],['text_3'],934491,1,2024-10-30_13h49.43.895,word_prime_exp,2024.1.5,None,2024-10-30 13h49.51.430158 +0530
,l_f_,non_prime,lift,1,[0.020481927710843374],[-0.30843373493975906],[1],[0],[0],[2.9649485000409186],['text_3'],934491,1,2024-10-30_13h49.43.895,word_prime_exp,2024.1.5,None,2024-10-30 13h49.51.430158 +0530
,b_k_,prime,bike,1,[0.07710843373493977],[-0.2987951807228916],[1],[0],[0],[2.977515799982939],['text_3'],934491,1,2024-10-30_13h49.43.895,word_prime_exp,2024.1.5,None,2024-10-30 13h49.51.430158 +0530
,c_o_k,non_prime,clock,1,[0.0819277108433735],[-0.3253012048192771],[1],[0],[0],[3.310445500013884],['text_3'],934491,1,2024-10-30_13h49.43.895,word_prime_exp,2024.1.5,None,2024-10-30 13h49.51.430158 +0530
,b_o_,prime,,0,[],[],[],[],[],[],[],934491,1,2024-10-30_13h49.43.895,word_prime_exp,2024.1.5,None,2024-10-30 13h49.51.430158 +0530
,p_n_i_,non_prime,pencil,1,[0.0819277108433735],[-0.3144578313253012],[1],[0],[0],[4.784663200029172],['text_3'],934491,1,2024-10-30_13h49.43.895,word_prime_exp,2024.1.5,None,2024-10-30 13h49.51.430158 +0530
,_r_e,non_prime,tree,1,[0.08433734939759036],[-0.3192771084337349],[1],[0],[0],[3.339971199980937],['text_3'],934491,1,2024-10-30_13h49.43.895,word_prime_exp,2024.1.5,None,2024-10-30 13h49.51.430158 +0530
,r_o_,prime,room,1,[0.0891566265060241],[-0.29397590361445786],[1],[0],[0],[3.2120753000490367],['text_3'],934491,1,2024-10-30_13h49.43.895,word_prime_exp,2024.1.5,None,2024-10-30 13h49.51.430158 +0530
,p_an_,prime,piano,1,[-0.016867469879518072],[-0.3],[1],[0],[0],[3.6695330000366084],['text_3'],934491,1,2024-10-30_13h49.43.895,word_prime_exp,2024.1.5,None,2024-10-30 13h49.51.430158 +0530
,c_s_i_n,prime,cushion,1,[-0.012048192771084338],[-0.2963855421686747],[1],[0],[0],[3.5127026000409387],['text_3'],934491,1,2024-10-30_13h49.43.895,word_prime_exp,2024.1.5,None,2024-10-30 13h49.51.430158 +0530
,s_e_f,non_prime,,0,[],[],[],[],[],[],[],934491,1,2024-10-30_13h49.43.895,word_prime_exp,2024.1.5,None,2024-10-30 13h49.51.430158 +0530
,m_b_l_,non_prime,mobile,1,[0.04096385542168675],[-0.30843373493975906],[1],[0],[0],[4.484393500024453],['text_3'],934491,1,2024-10-30_13h49.43.895,word_prime_exp,2024.1.5,None,2024-10-30 13h49.51.430158 +0530
,h_p_y,non_prime,happy,1,[0.014457831325301205],[-0.3],[1],[0],[0],[3.6760136999655515],['text_3'],934491,1,2024-10-30_13h49.43.895,word_prime_exp,2024.1.5,None,2024-10-30 13h49.51.430158 +0530
,p_an_,prime,piano,1,[0.05301204819277108],[-0.3036144578313253],[1],[0],[0],[6.221664200013038],['text_3'],934491,1,2024-10-30_13h49.43.895,word_prime_exp,2024.1.5,None,2024-10-30 13h49.51.430158 +0530
,r_o_,prime,room,1,[0.08072289156626505],[-0.29036144578313255],[1],[0],[0],[2.922395500005223],['text_3'],934491,1,2024-10-30_13h49.43.895,word_prime_exp,2024.1.5,None,2024-10-30 13h49.51.430158 +0530
,v_s_,prime,vase,1,[0.0855421686746988],[-0.30120481927710846],[1],[0],[0],[3.245962699991651],['text_3'],934491,1,2024-10-30_13h49.43.895,word_prime_exp,2024.1.5,None,2024-10-30 13h49.51.430158 +0530
,t_g_r,prime,tiger,1,[0.01927710843373494],[-0.3253012048192771],[1],[0],[0],[3.1014232999878004],['text_3'],934491,1,2024-10-30_13h49.43.895,word_prime_exp,2024.1.5,None,2024-10-30 13h49.51.430158 +0530
