num_distr,mouse.time,mouse.clicked_name,,num_distr,mouse.time,mouse.clicked_name,,num_distr,mouse.time,mouse.clicked_name,,num_distr,mouse.time,mouse.clicked_name,,
5,1.373487,target,,5,1.0702943,target,,5,1.7884198,target,,,,,,
5,1.1560314,target,,10,1.5623388,target,,5,1.1227091,target,,,,,,
5,1.3899751,target,,10,1.2801679,target,,5,1.2563699,target,,,,,,
5,1.0702943,target,,5,1.1860226,target,,5,1.270995,target,,,,,,
10,1.5623388,target,,5,1.4551926,target,,5,0.9046044,target,,,,,,
10,1.2801679,target,,10,0.8767776,target,,5,2.3735742,target,,,,,,
5,1.1860226,target,,10,1.3947538,target,,,,,,,,,,
5,1.4551926,target,,5,1.7069053,target,,,,,,,,,,
10,0.8767776,target,,5,1.6069173,target,,,,,,,,,,
10,1.3947538,target,,10,1.4438408,target,,,,,,,,,,
5,1.7069053,target,,10,2.0804111,target,,,,,,,,,,
5,1.6069173,target,,10,1.0957069,target,,,,,,,,,,
10,1.4438408,target,,5,1.4902962,target,,,,,,,,,,
10,2.0804111,target,,10,1.7473661,target,,,,,,,,,,
10,1.0957069,target,,10,1.343369,target,,,,,,,,,,
5,1.4902962,target,,5,1.4067064,target,,,,,,,,,,
10,1.7473661,target,,10,1.0639904,target,,,,,,,,,,
10,1.343369,target,,10,1.8734745,target,,,,,,,,,,
5,1.4067064,target,,5,1.2938223,target,,,,,,,,,,
10,1.0639904,target,,10,1.8682134,target,,,,,,,,,,
10,1.8734745,target,,5,1.1854749,target,,,,,,,,,,
5,1.2938223,target,,10,3.0222403,target,,,,,,,,,,
10,1.8682134,target,,10,1.552725,target,,,,,,,,,,
5,1.1854749,target,,5,1.168329,target,,,,,,,,,,
10,3.0222403,target,,10,1.4629457,target,,,,,,,,,,
10,1.552725,target,,5,1.1378375,target,,,,,,,,,,
5,1.168329,target,,10,1.3044006,target,,,,,,,,,,
10,1.4629457,target,,5,1.5735203,target,,,,,,,,,,
5,1.1378375,target,,10,1.9630306,target,,,,,,,,,,
10,1.3044006,target,,10,1.8801268,target,,,,,,,,,,
5,1.5735203,target,,10,1.2128108,target,,,,,,,,,,
10,1.9630306,target,,10,2.0963574,target,,,,,,,,,,
10,1.8801268,target,,5,1.5727736,target,,,,,,,,,,
10,1.2128108,target,,5,1.3057386,target,,,,,,,,,,
10,2.0963574,target,,10,2.6473514,target,,,,,,,,,,
5,1.5727736,target,,5,1.1559848,target,,,,,,,,,,
5,1.3057386,target,,5,1.572113,target,,,,,,,,,,
10,2.6473514,target,,5,1.1857746,target,,,,,,,,,,
